epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,471.766,2.23123,2.02811,1.28234,0.6496,0.53331,0.55615,0.24858,2.04958,1.67113,1.22294,0.00171785,0.00171785,0.00171785
116,475.488,2.04246,1.90215,1.25854,0.6496,0.53331,0.55615,0.24858,2.04958,1.67113,1.22294,0.00171537,0.00171537,0.00171537
117,478.989,1.9974,1.80218,1.20223,0.67765,0.54795,0.56661,0.25738,1.98955,1.63289,1.21234,0.0017129,0.0017129,0.0017129
118,482.572,2.21107,1.90998,1.23227,0.6076,0.56164,0.55545,0.25784,2.00874,1.68985,1.22624,0.00171043,0.00171043,0.00171043
119,486.137,1.97807,1.71138,1.21282,0.71058,0.53817,0.53884,0.25569,1.99594,1.77414,1.22313,0.00170795,0.00170795,0.00170795
120,489.782,2.04387,1.67809,1.26379,0.66397,0.51435,0.54253,0.27794,1.96628,1.77372,1.21807,0.00170548,0.00170548,0.00170548
121,494.765,2.03033,2.21911,1.19102,0.66397,0.51435,0.54253,0.27794,1.96628,1.77372,1.21807,0.001703,0.001703,0.001703
122,499.91,2.04228,1.68446,1.19199,0.7855,0.50685,0.56276,0.28845,1.97209,1.7733,1.20596,0.00170053,0.00170053,0.00170053
123,505.205,2.02883,1.77348,1.29743,0.66299,0.42466,0.52892,0.29483,1.94826,1.87321,1.19619,0.00169805,0.00169805,0.00169805
124,510.171,2.18312,1.92132,1.22392,0.77923,0.38356,0.52687,0.29716,1.94932,1.88283,1.19143,0.00169557,0.00169557,0.00169557
125,515.194,2.00019,1.65933,1.21845,0.77854,0.52979,0.58735,0.31595,1.96535,1.69197,1.18614,0.0016931,0.0016931,0.0016931
126,520.208,1.96671,1.66521,1.2001,0.86928,0.5466,0.61727,0.33636,1.94537,1.64283,1.1822,0.00169063,0.00169063,0.00169063
127,525.146,2.12922,1.72105,1.19727,0.86928,0.5466,0.61727,0.33636,1.94537,1.64283,1.1822,0.00168815,0.00168815,0.00168815
